Investment Experience,Comfort Level,Risk Capacity
Extensive,Moderate,Low
Extensive,Moderate,Low
Limited,Aggressive,High
Extensive,Aggressive,Medium
Limited,Conservative,High
Limited,Aggressive,High
Extensive,Conservative,Medium
Some,Moderate,Medium
Extensive,Conservative,Medium
Extensive,Aggressive,High
Some,Conservative,Medium
Limited,Aggressive,High
Some,Aggressive,Low
Limited,Conservative,Medium
Some,Conservative,Low
Extensive,Moderate,Medium
Some,Conservative,Low
Limited,Conservative,Medium
Some,Aggressive,Low
Some,Conservative,Medium
