Income,Expenses,Assets,Liabilities,Net Worth
130002,30218,367676,139009,228667
94252,78803,467193,170335,296858
46506,43191,493864,36882,456982
148446,52086,166847,187550,-20703
119451,72465,228004,272832,-44828
127662,74297,276557,186484,90073
41071,51578,183554,228141,-44587
58674,42335,113353,70917,42436
66004,47355,139631,110920,28711
113560,64048,246757,254153,-7396
126000,73045,378655,50707,327948
66012,35189,321171,137382,183789
42089,39589,270398,140768,129630
65326,44601,306187,220654,85533
88181,42503,106632,73289,33343
138208,53935,413133,255877,157256
117661,22937,133232,200276,-67044
94753,39440,53063,217093,-164030
97357,40427,403851,53710,350141
129539,76731,386879,140827,246052
